[2025-07-09 11:13:01,972: INFO: main: Welcome to our custom log]
[2025-07-11 10:39:26,407: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-11 10:39:26,420: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-11 10:39:26,422: INFO: common: created directory at: artifacts]
[2025-07-11 10:39:26,424: INFO: common: created directory at: artifacts/data_ingestion]
[2025-07-11 10:40:07,956: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-11 10:40:07,958: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-11 10:40:07,960: INFO: common: created directory at: artifacts]
[2025-07-11 10:40:07,962: INFO: common: created directory at: artifacts/data_ingestion]
[2025-07-11 10:40:12,792: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-11 10:40:12,795: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-11 10:40:12,797: INFO: common: created directory at: artifacts]
[2025-07-11 10:40:12,798: INFO: common: created directory at: artifacts/data_ingestion]
[2025-07-11 10:41:12,633: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-11 10:41:12,637: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-11 10:41:12,638: INFO: common: created directory at: artifacts]
[2025-07-11 10:41:12,640: INFO: common: created directory at: artifacts/data_ingestion]
[2025-07-11 10:41:12,641: INFO: 66378769: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-07-11 10:41:27,844: INFO: 66378769: Download data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-07-11 10:56:54,552: INFO: main: >>>> stage Data Ingestion Started]
[2025-07-11 10:56:54,552: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-11 10:56:54,552: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-11 10:56:54,552: INFO: common: created directory at: artifacts]
[2025-07-11 10:56:54,552: INFO: common: created directory at: artifacts/data_ingestion]
[2025-07-11 10:56:54,552: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-07-11 10:57:10,850: INFO: data_ingestion: Download data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-07-11 10:57:11,452: INFO: main: >>>> stage Data Ingestion Completed]
[2025-07-13 10:20:36,675: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-13 10:20:36,701: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-13 10:20:36,705: INFO: common: created directory at: artifacts]
[2025-07-13 10:20:36,710: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-07-13 10:20:55,069: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2025-07-13 10:22:07,322: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-13 10:22:07,329: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-13 10:22:07,334: INFO: common: created directory at: artifacts]
[2025-07-13 10:22:07,334: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-07-13 10:22:08,273: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2025-07-13 10:37:23,287: INFO: main: >>>> stage Data Ingestion Started]
[2025-07-13 10:37:23,287: INFO: common: yaml file: config\config.yaml loaded successfully]
